美国:道琼斯工业平均指数,美国:标准普尔500指数,美国:纳斯达克综合指数
24174.82,2713.22,7502.67
24356.74,2736.61,7586.43
24456.48,2759.82,7688.39
24776.59,2784.17,7756.20
24919.66,2793.84,7759.20
24700.45,2774.02,7716.61
24924.89,2798.29,7823.92
25019.41,2801.31,7825.98
25064.36,2798.43,7805.72
25119.89,2809.55,7855.12
25199.29,2815.62,7854.44
25064.50,2804.49,7825.30
25058.12,2801.83,7820.20
25044.29,2806.98,7841.87
25241.94,2820.40,7840.77
25414.10,2846.07,7932.24
25527.07,2837.44,7852.19
25451.06,2818.82,7737.42
25306.83,2802.60,7630.00
25415.19,2816.29,7671.79
25333.82,2813.36,7707.29
25326.16,2827.22,7802.69
25462.58,2840.35,7812.02
25502.18,2850.40,7859.68
25628.91,2858.45,7883.66
25583.75,2857.70,7888.33
25509.23,2853.58,7891.78
25313.14,2833.28,7839.11
25187.70,2821.93,7819.71
25299.92,2839.96,7870.90
25162.41,2818.37,7774.12
25558.73,2840.69,7806.52
25669.32,2850.13,7816.33
25758.69,2857.05,7821.01
25822.29,2862.96,7859.17
25733.60,2861.82,7889.10
25656.98,2856.98,7878.46
25790.35,2874.69,7945.98
26049.64,2896.74,8017.90
26064.02,2897.52,8030.04
26124.57,2914.04,8109.69
25986.92,2901.13,8088.36
25964.82,2901.52,8109.54
25952.48,2896.72,8091.25
25974.99,2888.60,7995.17
25995.87,2878.05,7922.73
25916.54,2871.68,7902.54
25857.07,2877.13,7924.16
25971.06,2887.89,7972.47
25998.92,2888.92,7954.23
26145.99,2904.18,8013.71
26154.67,2904.98,8010.04
26062.12,2888.80,7895.79
26246.96,2904.31,7956.11
26405.76,2907.95,7950.04
26656.98,2930.75,8028.23
26743.50,2929.67,7986.96
26562.05,2919.37,7993.25
26492.21,2915.56,8007.47
26385.28,2905.97,7990.37
26439.93,2914.00,8041.97
26458.31,2913.98,8046.35
26651.21,2924.59,8037.30
26773.94,2923.43,7999.55
26828.39,2925.51,8025.09
26627.48,2901.61,7879.51
26447.05,2885.57,7788.45
26486.78,2884.43,7735.95
26430.57,2880.34,7738.02
25598.74,2785.68,7422.05
25052.83,2728.37,7329.06
25339.99,2767.13,7496.89
25250.55,2750.79,7430.74
25798.42,2809.92,7645.49
25706.68,2809.21,7642.70
25379.45,2768.78,7485.14
25444.34,2767.78,7449.03
25317.41,2755.88,7468.63
25191.43,2740.69,7437.54
24583.42,2656.10,7108.40
24984.55,2705.57,7318.34
24688.31,2658.69,7167.21
24442.92,2641.25,7050.29
24874.64,2682.63,7161.65
25115.76,2711.74,7305.90
25380.74,2740.37,7434.06
25270.83,2723.06,7356.99
25461.70,2738.31,7328.85
25635.01,2755.45,7375.96
26180.30,2813.89,7570.75
26191.22,2806.83,7530.89
25989.30,2781.01,7406.90
25387.18,2726.22,7200.87
25286.49,2722.18,7200.88
25080.50,2701.58,7136.39
25289.27,2730.20,7259.03
25413.22,2736.27,7247.87
25017.44,2690.73,7028.48
24465.64,2641.89,6908.82
24464.69,2649.93,6972.25
24285.95,2632.56,6938.98
24640.24,2673.45,7081.85
24748.73,2682.17,7082.70
25366.43,2743.79,7291.59
25338.84,2737.76,7273.08
25538.46,2760.17,7330.54
25826.43,2790.37,7441.51
25027.07,2700.06,7158.43
24947.67,2695.95,7188.26
24388.95,2633.08,6969.25
24423.26,2637.72,7020.52
24370.24,2636.78,7031.83
24527.27,2651.07,7098.31
24597.38,2650.54,7070.33
24100.51,2599.95,6910.67
23592.98,2545.94,6753.73
23675.64,2546.16,6783.91
23323.66,2506.96,6636.83
22859.60,2467.42,6528.41
22445.37,2416.62,6333.00
21792.20,2351.10,6192.92
22878.45,2467.70,6554.36
23138.82,2488.83,6579.49
23062.40,2485.74,6584.52
23327.46,2506.85,6635.28
23346.24,2510.03,6665.94
22686.22,2447.89,6463.50
23433.16,2531.94,6738.86
23531.35,2549.69,6823.47
23787.45,2574.41,6897.00
23879.12,2584.96,6957.08
24001.92,2596.64,6986.07
23995.95,2596.26,6971.48
23909.84,2582.61,6905.92
24065.59,2610.30,7023.83
24207.16,2616.10,7034.69
24370.10,2635.96,7084.46
24706.35,2670.71,7157.23
24404.48,2632.90,7020.36
24575.62,2638.70,7025.77
24553.24,2642.33,7073.46
24737.20,2664.76,7164.86
24528.22,2643.85,7085.69
24579.96,2640.00,7028.29
25014.86,2681.05,7183.08
24999.67,2704.10,7281.74
25063.89,2706.53,7263.87
25239.37,2724.87,7347.54
25411.52,2737.70,7402.08
25390.30,2731.61,7375.28
25169.53,2706.05,7288.35
25106.33,2707.88,7298.20
25053.11,2709.80,7307.91
25425.76,2744.73,7414.62
25543.27,2753.03,7420.38
25439.39,2745.73,7426.96
25883.25,2775.60,7472.41
25891.32,2779.76,7486.77
25954.44,2784.70,7489.07
25850.63,2774.88,7459.71
26031.81,2792.67,7527.55
26091.95,2796.11,7554.46
26057.98,2793.90,7549.30
